G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-23 23:42:43.814323 - 2025-06-23 23:48:55.626275 | Duration: 0:06:11 | Date: 2025-06-23
G2 | MC4 | IP: 192.168.1.12 | Downtime: 2025-06-24 16:18:14.694554 - 2025-06-24 17:49:29.967426 | Duration: 1:31:15 | Date: 2025-06-24
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-24 21:30:27.598061 - 2025-06-24 21:34:32.923453 | Duration: 0:04:05 | Date: 2025-06-24
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-24 21:36:26.455382 - 2025-06-24 21:36:28.486768 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:22:08.909251 - 2025-06-24 21:52:41.209057 | Duration: 0:30:32 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:54:50.295509 - 2025-06-24 21:54:53.223543 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:55:02.490166 - 2025-06-24 21:55:05.292622 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:55:42.160586 - 2025-06-24 21:55:44.814537 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:55:54.354566 - 2025-06-24 21:55:56.707529 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:56:18.868789 - 2025-06-24 21:56:21.884032 | Duration: 0:00:03 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:56:55.549346 - 2025-06-24 21:56:57.984679 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:57:20.010349 - 2025-06-24 21:57:22.922671 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:57:32.209328 - 2025-06-24 21:57:34.825918 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:57:50.548423 - 2025-06-24 21:57:52.737290 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 21:58:05.843231 - 2025-06-24 21:58:07.996745 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:00:01.934400 - 2025-06-24 22:00:04.912933 | Duration: 0:00:02 | Date: 2025-06-24
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-24 21:38:55.581526 - 2025-06-24 22:00:58.989604 | Duration: 0:22:03 | Date: 2025-06-24
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-24 22:03:57.092291 - 2025-06-24 22:03:59.147748 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:00:17.208499 - 2025-06-24 22:05:25.231630 | Duration: 0:05:08 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:06:17.544796 - 2025-06-24 22:06:20.522016 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:06:23.666667 - 2025-06-24 22:16:23.879527 | Duration: 0:10:00 | Date: 2025-06-24
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-24 22:28:25.232337 - 2025-06-24 22:28:27.255672 | Duration: 0:00:02 | Date: 2025-06-24
G1 | MC1 | IP: 192.168.1.9 | Downtime: 2025-06-24 22:33:12.185218 - 2025-06-24 22:33:14.264467 | Duration: 0:00:02 | Date: 2025-06-24
G3 | MC8 | IP: 192.168.1.16 | Downtime: 2025-06-24 22:16:30.876650 - 2025-06-24 22:37:15.624305 | Duration: 0:20:44 | Date: 2025-06-24
